time x1 y1 x2 y2
2.109999999999999876e+00 -8.616080121145974768e-02 3.906101846273332123e-01 -3.754472533886833441e-01 6.668588924735689982e-01
2.120000000000000107e+00 -1.128871343792886839e-01 3.837401397972753370e-01 -3.959517011371221917e-01 6.663608238354398194e-01
2.129999999999999893e+00 -1.396593333518093838e-01 3.748269875659011596e-01 -4.156879094183960621e-01 6.643234904716401878e-01
2.140000000000000124e+00 -1.661785915049826257e-01 3.638470499061661201e-01 -4.343247539200842944e-01 6.606595085093284192e-01
2.149999999999999911e+00 -1.920927841848628637e-01 3.508566121139912730e-01 -4.515418727413127442e-01 6.553006471142315270e-01
2.160000000000000142e+00 -2.170182710379254809e-01 3.360105207217618517e-01 -4.670723663300690998e-01 6.482171020547433660e-01
2.169999999999999929e+00 -2.405787688599020646e-01 3.195651044370361737e-01 -4.807431728837456841e-01 6.394417354057144731e-01
2.180000000000000160e+00 -2.624527486945356092e-01 3.018585011270726870e-01 -4.924942825154561832e-01 6.290906705684622402e-01
2.189999999999999947e+00 -2.824129070598534463e-01 2.832718657509118443e-01 -5.023674433330833633e-01 6.173676633491881338e-01
2.200000000000000178e+00 -3.003435300213936898e-01 2.641850941561393329e-01 -5.104736139562746633e-01 6.045457085425867128e-01
2.209999999999999964e+00 -3.162333146127755956e-01 2.449418109041763270e-01 -5.169578446448079845e-01 5.909326533312841967e-01
2.220000000000000195e+00 -3.301522413226855579e-01 2.258306833661166135e-01 -5.219741174089671532e-01 5.768354808472040407e-01
2.229999999999999982e+00 -3.422239917300326506e-01 2.070814803027121731e-01 -5.256719295988221408e-01 5.625345068641536272e-01
2.240000000000000213e+00 -3.526017931878997480e-01 1.888702608688768991e-01 -5.281908822847295459e-01 5.482704163921398033e-01
2.250000000000000000e+00 -3.614506732232496966e-01 1.713283713412917797e-01 -5.296593078299514090e-01 5.342413846705869052e-01
2.260000000000000231e+00 -3.689359222409995809e-01 1.545518853983449681e-01 -5.301945174732510813e-01 5.206060691795455497e-01
2.270000000000000018e+00 -3.752163240955912471e-01 1.386099207567491332e-01 -5.299035479545717298e-01 5.074891188349298643e-01
2.280000000000000249e+00 -3.804406114384727977e-01 1.235513705643162957e-01 -5.288839794296087415e-01 4.949871880341023545e-01
2.290000000000000036e+00 -3.847459249201526377e-01 1.094101149681155905e-01 -5.272246904912882837e-01 4.831744810616817598e-01
2.300000000000000266e+00 -3.882574338363682376e-01 9.620896564664922768e-02 -5.250065214282840786e-01 4.721074719522456720e-01
2.310000000000000053e+00 -3.910885808475463854e-01 8.396262222353591265e-02 -5.223028487396963460e-01 4.618287571199131136e-01
2.319999999999999840e+00 -3.933416256726109950e-01 7.267988382783505119e-02 -5.191800810757329909e-01 4.523701301362653693e-01
2.330000000000000071e+00 -3.951082994960182782e-01 6.236530821991275592e-02 -5.156980868612891511e-01 4.437550081112427436e-01
2.339999999999999858e+00 -3.964704660693595395e-01 5.302046335845107816e-02 -5.119105624777495755e-01 4.360003376876664949e-01
2.350000000000000089e+00 -3.975007357298693811e-01 4.464487758088891978e-02 -5.078653485021064062e-01 4.291180915342593938e-01
2.359999999999999876e+00 -3.982630077378803701e-01 3.723676499881573704e-02 -5.036047003823448387e-01 4.231164454573742018e-01
2.370000000000000107e+00 -3.988129328139113361e-01 3.079358083053482936e-02 -4.991655190270351539e-01 4.180007068501079281e-01
2.379999999999999893e+00 -3.991982967203488997e-01 2.531244546803645620e-02 -4.945795460394463716e-01 4.137740488194207034e-01
